biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SAMN19838993	SG43_juvenile_ModMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG43_S96_L001_R1_001.fastq.gz	SG43_S96_L002_R1_001.fastq.gz				
SAMN19838992	SG40_juvenile_AmbM_TagSeq	TagSeq of juvenile Panopea generosa pH AmbM	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG40_S72_L001_R1_001.fastq.gz	SG40_S72_L002_R1_001.fastq.gz				
SAMN19838991	SG89_juvenile_AmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG89_S84_L001_R1_001.fastq.gz	SG89_S84_L002_R1_001.fastq.gz				
SAMN19838990	SG128_juvenile_AmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG128_S170_L001_R1_001.fastq.gz	SG128_S170_L002_R1_001.fastq.gz				
SAMN19838989	SG90_juvenile_ModMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG90_S92_L001_R1_001.fastq.gz	SG90_S92_L002_R1_001.fastq.gz				
SAMN19838988	SG60_juvenile_ModMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG60_S136_L001_R1_001.fastq.gz	SG60_S136_L002_R1_001.fastq.gz				
SAMN19838987	SG25_juvenile_ModMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG25_S47_L001_R1_001.fastq.gz	SG25_S47_L002_R1_001.fastq.gz				
SAMN19838986	SG37_juvenile_Amb_TagSeq	TagSeq of juvenile Panopea generosa pH Amb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG37_S48_L001_R1_001.fastq.gz	SG37_S48_L002_R1_001.fastq.gz				
SAMN19838985	SG98_juvenile_Mod_TagSeq	TagSeq of juvenile Panopea generosa pH Mod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG98_S144_L001_R1_001.fastq.gz	SG98_S144_L002_R1_001.fastq.gz				
SAMN19838984	SG87_juvenile_Amb_TagSeq	TagSeq of juvenile Panopea generosa pH Amb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG87_S68_L001_R1_001.fastq.gz	SG87_S68_L002_R1_001.fastq.gz				
SAMN19838983	SG88_juvenile_Mod_TagSeq	TagSeq of juvenile Panopea generosa pH Mod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG88_S76_L001_R1_001.fastq.gz	SG88_S76_L002_R1_001.fastq.gz				
SAMN19838982	SG97_juvenile_Amb_TagSeq	TagSeq of juvenile Panopea generosa pH Amb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG97_S140_L001_R1_001.fastq.gz	SG97_S140_L002_R1_001.fastq.gz				
SAMN19838981	SG38_juvenile_Mod_TagSeq	TagSeq of juvenile Panopea generosa pH Mod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG38_S56_L001_R1_001.fastq.gz	SG38_S56_L002_R1_001.fastq.gz				
SAMN19838980	SG137_juvenile_Amb_TagSeq	TagSeq of juvenile Panopea generosa pH Amb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG137_S159_L001_R1_001.fastq.gz	SG137_S159_L002_R1_001.fastq.gz				
SAMN19838979	SG117_juvenile_Mod_TagSeq	TagSeq of juvenile Panopea generosa pH Mod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG117_S173_L001_R1_001.fastq.gz	SG117_S173_L002_R1_001.fastq.gz				
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
